資料名稱,ionosphere,電離層,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分類數目,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分類內容,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
欄位編號,欄位名稱,欄位說明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,B15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,B16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,B17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,B18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,B19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,B20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,B22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,B23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,B24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,B25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,B27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,B28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,B29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,B30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,B31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,B32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,B33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,B34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,B35,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
