資料名稱,letter-recognition,字母識別,,,,,,,,,,,,,,,
分類數目,17,,,,,,,,,,,,,,,,
分類內容,lettr,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
,,,,,,,,,,,,,,,,,
欄位編號,欄位名稱,欄位說明,,,,,,,,,,,,,,,
1,lettr,capital letter(26 values from A to Z),,,,,,,,,,,,,,,
2,x-box,horizontal position of box,,,,,,,,,,,,,,,
3,y-box,vertical position of box,,,,,,,,,,,,,,,
4,width,width of box,,,,,,,,,,,,,,,
5,high,height of box,,,,,,,,,,,,,,,
6,onpix,total # on pixels,,,,,,,,,,,,,,,
7,x-bar,mean x of on pixels in box,,,,,,,,,,,,,,,
8,y-bar,mean y of on pixels in box,,,,,,,,,,,,,,,
9,x2bar,mean x variance,,,,,,,,,,,,,,,
10,y2bar,mean y variance,,,,,,,,,,,,,,,
11,xybar,mean x y correlation,,,,,,,,,,,,,,,
12,x2ybr,mean of x * x * y,,,,,,,,,,,,,,,
13,xy2br,mean of x * y * y,,,,,,,,,,,,,,,
14,x-ege,mean edge count left to right,,,,,,,,,,,,,,,
15,xegvy,correlation of x-ege with y,,,,,,,,,,,,,,,
16,y-ege,mean edge count bottom to top,,,,,,,,,,,,,,,
17,yegvx,correlation of y-ege with x,,,,,,,,,,,,,,,
