, 股票代號, 股票名稱
1,2330,台積電
2,2891,中信金           
3,2002,中國鋼鐵         
4,2883,開發金
5,2317,鴻海 
6,2886,兆豐金 
7,5880,合庫金控
8,2882,國泰金           
9,2888,新光金          
10,2880,華南金
11,2892,第一金
12,2884,玉山金
13,2303,聯電
14,2885,元大金 
15,2890,永豐金控
16,2887,台新金          
17,2801,彰銀
18,2881,富邦金           
19,3481,群創光電
20,2409,友達
21,6505,台塑化
22,1303,南亞塑膠
23,2412,中華電信
24,2834,台灣企銀
25,1301,台灣塑膠
26,1326,台灣化纖
27,1101,臺灣水泥        
28,1216,統一企業
29,2610,華航
30,1402,遠東新
31,2618,長榮航
32,2603,長榮
33,2823,中國人壽 
34,5876,上海商銀
35,2324,仁寶
36,3711,日月光投控
37,2812,台中商銀
38,2344,華邦電
39,2382,廣達
40,3682,亞太電信
41,2356,英業達
42,3045,台灣大哥大
43,2845,遠東商銀
44,1102,亞洲水泥
45,1314,中石化
46,4904,遠傳 
47,2105,正新橡膠
48,1605,華新麗華
49,2408,南亞科
50,2838,聯邦銀行        
51,2353,宏碁
52,6116,彩晶
53,9904,寶成工業 
54,1802,臺灣玻璃 
55,2889,國票金 
56,3231,緯創
57,2897,王道銀行       -  
58,3576,聯合再生
59,2633,台灣高鐵
60,4938,和碩
61,2308,台達電 
62,2867,三商壽 
63,2301,光寶科
64,2371,大同
65,2615,萬海
66,6005,群益證
67,2609,陽明
68,1504,東元電機
69,2352,佳世達
70,2023,燁輝
71,2337,旺宏
72,2923,鼎固-KY
73,1434,福懋 
74,3702,大聯大          
75,2347,聯強
76,1907,永豐餘
77,2027,大成鋼
78,1440,台南紡織 
79,2511,太子
80,1718,中國人纖
81,1409,新光合纖
82,2454,聯發科
83,9907,統一實業 
84,2515,中工
85,9945,潤泰新 
86,3037,欣興
87,2849,安泰商銀
88,2312,金寶 
89,2014,中鴻 
90,2903,遠東百貨
91,2354,鴻準
92,2855,統一證券
93,5871,中租-KY
94,2820,華票
95,1313,聯成
96,2542,興富發
97,1229,聯華
98,1909,榮成紙業
99,1717,長興
100,2449,京元電子
101,3706,神達
102,2313,華通 
103,1304,台灣聚合
104,2504,國產
