, 股票代號, 股票名稱, 發行股數, 收盤價, 市值(佰萬元),類型,yahooid
1,2330,台積電TSMC,2593.038046,530,137431016.4,tw,2330.tw
2,2891,中信金         Chinatrust Group common,1949.698957,19.7,3840906.945,tw,2891.tw
3,2002,中國鋼鐵       China Steel common,1573.4861,24.75,3894378.097,tw,2002.tw
4,2883,開發金CDIBH,1497.294147,9.3,1392483.556,tw,2883.tw
5,2317,鴻海Hon Hai,1386.299061,92,12753951.36,tw,2317.tw
6,2886,兆豐金MEGA FHC,1359.982398,29.8,4052747.547,tw,2886.tw
7,5880,合庫金控TCFHC,1333.422373,20.35,2713514.528,tw,5880.tw
8,2882,國泰金         Cathay Holdings common,1316.921013,42.25,5563991.279,tw,2882.tw
9,2888,新光金         SKFHC common,1302.039406,8.81,1147096.717,tw,2888.tw
10,2880,華南金HNFHC,1285.477881,18.25,2345997.133,tw,2880.tw
11,2892,第一金FFHC,1283.580108,21.35,2740443.53,tw,2892.tw
12,2884,玉山金E.SUN FHC,1256.71,25.55,3210894.05,tw,2884.tw
13,2303,聯電UMC,1242.240149,47.15,5857162.304,tw,2303.tw
14,2885,元大金Yuanta Group,1213.743591,20.55,2494243.08,tw,2885.tw
15,2890,永豐金控SINOPACHOLDINGS,1127.105411,11.45,1290535.695,tw,2890.tw
16,2887,台新金         TSFHC common,1091.156617,13.25,1445782.518,tw,2887.tw
17,2801,彰銀C.H.B,1038.472361,17.95,1864057.887,tw,2801.tw
18,2881,富邦金         Fubon Financial common,1023.3604,46.75,4784209.868,tw,2881.tw
19,3481,群創光電INX,971.1071977,14.1,1369261.149,tw,3481.tw
20,2409,友達AUO,962.4245115,14,1347394.316,tw,2409.tw
21,6505,台塑化FPCC,952.5959652,99.8,9506907.733,tw,6505.tw
22,1303,南亞塑膠NPC,793.0821589,71.9,5702260.722,tw,1303.tw
23,2412,中華電信CHT,775.7446545,109,8455616.734,tw,2412.tw
24,2834,台灣企銀TBB,748.8583457,9.73,728639.1704,tw,2834.tw
25,1301,台灣塑膠FPC,636.5740781,96.4,6136574.113,tw,1301.tw
26,1326,台灣化纖FCFC,586.1186291,84.7,4964424.788,tw,1326.tw
27,1101,臺灣水泥       TCC common,574.1400721,43.2,2480285.111,tw,1101.tw
28,1216,統一企業PEC,568.2015421,67.5,3835360.409,tw,1216.tw
29,2610,華航CAL,542.098465,12.05,653228.6503,tw,2610.tw
30,1402,遠東新FENC,535.2875227,28.95,1549657.378,tw,1402.tw
31,2618,長榮航EVAAIR,485.356949,13.15,638244.3879,tw,2618.tw
32,2603,長榮EMC,481.2973786,40.7,1958880.331,tw,2603.tw
33,2823,中國人壽CHINA LIFE,473.1397242,22.2,1050370.188,tw,2823.tw
34,5876,上海商銀SCSB,448.160314,41.1,1841938.891,tw,5876.tw
35,2324,仁寶Compal,440.7146625,20.7,912279.3514,tw,2324.tw
36,3711,日月光投控ASEH,433.8531132,81.3,3527225.81,tw,3711.tw
37,2812,台中商銀TCCB,415.1694313,10.85,450458.833,tw,2812.tw
38,2344,華邦電WEC,398.0000193,29.05,1156190.056,tw,2344.tw
39,2382,廣達QCI,386.2627432,80.9,3124865.592,tw,2382.tw
40,3682,亞太電信APT,381.7196399,10.1,385536.8363,tw,3682.tw
41,2356,英業達Inventec,358.7475066,24,860994.0158,tw,2356.tw
42,3045,台灣大哥大TWM,351.2421461,98.9,3473784.825,tw,3045.tw
43,2845,遠東商銀FEIB,344.8104441,10.85,374119.3318,tw,2845.tw
44,1102,亞洲水泥ACC,336.1447198,43.2,1452145.19,tw,1102.tw
45,1314,中石化CPDC,328.485013,11.65,382685.0401,tw,1314.tw
46,4904,遠傳Far EasTone,325.850081,61.2,1994202.496,tw,4904.tw
47,2105,正新橡膠CST,324.1415536,44.05,1427843.544,tw,2105.tw
48,1605,華新麗華WALSIN,322.6000258,19.3,622618.0498,tw,1605.tw
49,2408,南亞科NTC,309.3593894,86.8,2685239.5,tw,2408.tw
50,2838,聯邦銀行       UBOT common,309.3368806,10.75,332537.1466,tw,2838.tw
51,2353,宏碁ACER,304.7853828,23.65,720817.4303,tw,2353.tw
52,6116,彩晶HannStar,302.7186851,12.3,372343.9827,tw,6116.tw
53,9904,寶成工業Pou Chen,294.6787213,31.4,925291.1849,tw,9904.tw
54,1802,臺灣玻璃Taiwan Glass,290.80608,19.5,567071.856,tw,1802.tw
55,2889,國票金Waterland Holdings,289.6481695,12.85,372197.8978,tw,2889.tw
56,3231,緯創Wistron,284.061205,31,880589.7355,tw,3231.tw
57,2897,王道銀行       O-Bank  common,273.3006301,6.93,189397.3367,tw,2897.tw
58,3576,聯合再生URE,266.5311332,14.25,379806.8648,tw,3576.tw
59,2633,台灣高鐵THSRC,262.8293058,31.7,833168.8994,tw,2633.tw
60,4938,和碩Pegatron,261.0462656,67.3,1756841.367,tw,4938.tw
61,2308,台達電Delta Electronics,259.7543329,263,6831538.955,tw,2308.tw
62,2867,三商壽Mercuries Life,250.1971471,8.62,215669.9408,tw,2867.tw
63,2301,光寶科LTC,235.0867032,49.8,1170731.782,tw,2301.tw
64,2371,大同Tatung,233.9536685,26.45,618807.4532,tw,2371.tw
65,2615,萬海WANHAI,221.8297466,52.9,1173479.36,tw,2615.tw
66,6005,群益證CSC,217.0908097,13.55,294158.0471,tw,6005.tw
67,2609,陽明YMTC,208.6559801,29.25,610318.7418,tw,2609.tw
68,1504,東元電機TECO,196.7692886,27.65,544067.083,tw,1504.tw
69,2352,佳世達Qisda,196.6781958,28.95,569383.3768,tw,2352.tw
70,2023,燁輝YP,189.0569518,13.6,257117.4544,tw,2023.tw
71,2337,旺宏MXIC,185.6301702,42.3,785215.6199,tw,2337.tw
72,2923,鼎固-KYSino Horizon,174.0296982,29.45,512517.4612,tw,2923.tw
73,1434,福懋Formosa Taffeta,168.4664637,31.05,523088.3698,tw,1434.tw
74,3702,大聯大         WPG common,167.9056833,42.9,720315.3814,tw,3702.tw
75,2347,聯強Synnex,166.7946968,47,783935.075,tw,2347.tw
76,1907,永豐餘YFY,166.0371495,29.45,488979.4053,tw,1907.tw
77,2027,大成鋼TC,165.8465853,31.3,519099.812,tw,2027.tw
78,1440,台南紡織Tainan Spinning,165.6815857,15,248522.3786,tw,1440.tw
79,2511,太子PHD,162.3326147,11.5,186682.5069,tw,2511.tw
80,1718,中國人纖CMFC,162.1367217,11.2,181593.1283,tw,1718.tw
81,1409,新光合纖SSFC,161.8409291,14.25,230623.324,tw,1409.tw
82,2454,聯發科MediaTek,159.0062183,747,11877764.51,tw,2454.tw
83,9907,統一實業Ton Yi,157.9145342,11.85,187128.723,tw,9907.tw
84,2515,中工BES,153.0899822,10,153089.9822,tw,2515.tw
85,9945,潤泰新RUENTEX DEVELOP,150.4880998,40.9,615496.3282,tw,9945.tw
86,3037,欣興Unimicron,150.4732333,87.4,1315136.059,tw,3037.tw
87,2849,安泰商銀ETB,150.3206919,16.1,242016.314,tw,2849.tw
88,2312,金寶Kinpo Electronics,146.6631211,12.15,178195.6921,tw,2312.tw
89,2014,中鴻CHUNG HUNG,143.5544446,15.75,226098.2502,tw,2014.tw
90,2903,遠東百貨FEDS,141.6940589,24,340065.7414,tw,2903.tw
91,2354,鴻準FoxconnTechnology,141.4485192,53.4,755335.0925,tw,2354.tw
92,2855,統一證券PSC,139.9837829,18.4,257570.1605,tw,2855.tw
93,5871,中租-KY        Chailease common,138.1328031,168,2320631.092,tw,5871.tw
94,2820,華票CBF,134.296,14.9,200101.04,tw,2820.tw
95,1313,聯成UPC,133.2347607,19.2,255810.7405,tw,1313.tw
96,2542,興富發Highwealth,128.3291627,45.85,588389.211,tw,2542.tw
97,1229,聯華LHHC,128.1498215,42.6,545918.2396,tw,1229.tw
98,1909,榮成紙業LCP,127.7685727,23.25,297061.9315,tw,1909.tw
