資料名稱,Zoo,,,,,,
分類數目,7,,,,,,
分類內容,"aardvark, antelope, bear, boar, buffalo, calf,cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster,hare, leopard, lion, lynx, mink, mole, mongoose,opossum, oryx, platypus, polecat, pony,porpoise, puma, pussycat, raccoon, reindeer,seal, sealion, squirrel, vampire, vole, wallaby,wolf","chicken, crow, dove, duck, flamingo, gull, hawk,kiwi, lark, ostrich, parakeet, penguin, pheasant,rhea, skimmer, skua, sparrow, swan, vulture, wren","pitviper, seasnake, slowworm, tortoise, tuatara","bass, carp, catfish, chub, dogfish, haddock,herring, pike, piranha, seahorse, sole, stingray, tuna","frog, frog, newt, toad","flea, gnat, honeybee, housefly, ladybird, moth, termite, wasp","clam, crab, crayfish, lobster, octopus,scorpion, seawasp, slug, starfish, worm"
欄位編號,欄位名稱,欄位說明,,,,,
1,animal name,Unique for each instance,,,,,
2,hair,Boolean,,,,,
3,feathers,Boolean,,,,,
4,eggs,Boolean,,,,,
5,milk,Boolean,,,,,
6,airborne,Boolean,,,,,
7,aquatic,Boolean,,,,,
8,predator,Boolean,,,,,
9,toothed,Boolean,,,,,
10,backbone,Boolean,,,,,
11,breathes,Boolean,,,,,
12,venomous,Boolean,,,,,
13,fins,Boolean,,,,,
14,legs,"Numeric (set of values: {0,2,4,5,6,8})",,,,,
15,tail,Boolean,,,,,
16,domestic,Boolean,,,,,
17,catsize,Boolean,,,,,
18,type,"Numeric (integer values in range [1,7])",,,,,
